day,TEMP,SO2,CO,O3,WSPM,PRES,NO2,season,PM2.5,station,year,DEWP,month,RAIN
1,1.39166666666667,11.7083333333333,429.166666666667,63.875,3.25416666666667,1026.875,22.5833333333333,Spring,7.125,Aotizhongxin,2013,-18.7458333333333,3,0.0
2,0.616666666666667,36.625,824.916666666667,29.75,1.47916666666667,1026.85,66.6666666666667,Spring,30.75,Aotizhongxin,2013,-15.9375,3,0.0
3,5.56666666666667,61.2916666666667,1620.625,19.125,1.65833333333333,1014.60833333333,81.0,Spring,76.9166666666667,Aotizhongxin,2013,-12.3166666666667,3,0.0
4,9.9625,22.8695652173913,617.391304347826,53.75,2.40416666666667,1017.65,46.9565217391304,Spring,22.7083333333333,Aotizhongxin,2013,-11.6833333333333,3,0.0
5,6.29166666666667,93.875,2357.95833333333,68.4583333333333,1.12916666666667,1010.9,132.833333333333,Spring,148.875,Aotizhongxin,2013,-7.525,3,0.0
6,7.18333333333333,116.2367,3108.34782608696,19.75,1.48333333333333,1007.48333333333,142.059383333333,Spring,223.25,Aotizhongxin,2013,-4.21666666666667,3,0.0
7,9.2875,97.5416666666667,3632.875,38.8333333333333,1.55833333333333,1002.32083333333,147.75,Spring,263.375,Aotizhongxin,2013,-2.03333333333333,3,0.0
8,9.6125,68.5630260869565,2581.45454545455,79.3333333333333,1.6375,999.475,118.835952173913,Spring,221.458333333333,Aotizhongxin,2013,-1.15,3,0.0
9,6.98333333333333,33.3333333333333,1178.95833333333,73.9166666666667,3.39166666666667,1004.39166666667,45.0,Spring,62.0416666666667,Aotizhongxin,2013,-10.1625,3,0.0
10,5.2625,22.9166666666667,708.333333333333,82.6666666666667,2.44166666666667,1020.49166666667,49.6666666666667,Spring,34.2916666666667,Aotizhongxin,2013,-12.85,3,0.0
11,5.5375,86.875,1670.75,75.25,1.56666666666667,1013.6625,90.6666666666667,Spring,123.791666666667,Aotizhongxin,2013,-6.62083333333333,3,0.0
12,4.6,27.5,1634.69565217391,36.5833333333333,1.08333333333333,1008.80833333333,72.875,Spring,122.791666666667,Aotizhongxin,2013,1.35,3,0.120833333333333
13,4.92916666666667,16.25,504.166666666667,71.875,2.32916666666667,1022.475,36.0833333333333,Spring,16.0416666666667,Aotizhongxin,2013,-10.05,3,0.0
